Sun Apr 22 18:38:15 2018    simple_plot_profile_3.prof

         256094 function calls (251833 primitive calls) in 64.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.067    0.067 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backend_bases.py:2787(__init__)
        1    0.000    0.000    0.067    0.067 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backends/_backend_tk.py:699(_init_toolbar)
       15    0.001    0.000    0.066    0.004 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/offsetbox.py:826(get_extent)
        1    0.066    0.066    0.066    0.066 {matplotlib._png.write_png}
        1    0.000    0.000    0.066    0.066 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/offsetbox.py:262(get_window_extent)
        7    0.000    0.000    0.064    0.009 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backends/_backend_tk.py:682(_Button)
        1    0.002    0.002    0.064    0.064 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/cm.py:6(<module>)
       12    0.002    0.000    0.062    0.005 /usr/lib/python2.7/lib-tk/Tkinter.py:2043(__init__)
        8    0.000    0.000    0.062    0.008 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/animation.py:126(wrapper)
        6    0.000    0.000    0.061    0.010 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/animation.py:419(isAvailable)
     4919    0.018    0.000    0.061    0.000 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_parse.py:201(get)
        1    0.001    0.001    0.060    0.060 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/scipy/integrate/_bvp.py:1(<module>)
        7    0.000    0.000    0.060    0.009 /usr/lib/python2.7/lib-tk/Tkinter.py:2109(__init__)
       21    0.001    0.000    0.060    0.003 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backends/backend_agg.py:220(get_text_width_height_descent)
     1536    0.059    0.000    0.059    0.000 {numpy.core.multiarray.array}
       12    0.016    0.001    0.059    0.005 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/artist.py:1150(_get_setters_and_targets)
        1    0.000    0.000    0.058    0.058 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axes/_base.py:998(cla)
      150    0.002    0.000    0.058    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/cm.py:67(_generate_cmap)
        2    0.000    0.000    0.056    0.028 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/collections.py:1147(__init__)
  306/305    0.007    0.000    0.056    0.000 {__import__}
     1110    0.009    0.000    0.056    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/colors.py:142(to_rgba)
       24    0.000    0.000    0.055    0.002 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backends/backend_agg.py:271(_get_agg_font)
       64    0.011    0.000    0.055    0.001 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/colors.py:706(from_list)
        2    0.001    0.000    0.054    0.027 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/collections.py:1256(set_segments)
      399    0.002    0.000    0.054    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/numpy/core/numeric.py:424(asarray)
        1    0.001    0.001    0.053    0.053 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/tqdm/__init__.py:1(<module>)
    10778    0.036    0.000    0.053    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/mathtext.py:2757(<genexpr>)
       24    0.000    0.000    0.052    0.002 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/font_manager.py:1473(findfont)
       24    0.010    0.000    0.052    0.002 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/font_manager.py:1255(findfont)
       28    0.001    0.000    0.052    0.002 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/pyparsing.py:2757(__init__)
     5825    0.034    0.000    0.051    0.000 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_parse.py:182(__next)
        6    0.001    0.000    0.049    0.008 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/subprocess32.py:716(__init__)
17619/17614    0.037    0.000    0.049    0.000 {isinstance}
        6    0.007    0.001    0.048    0.008 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/subprocess32.py:1330(_execute_child)
       14    0.000    0.000    0.047    0.003 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/six.py:91(__get__)
       14    0.000    0.000    0.047    0.003 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/six.py:80(_import_module)
      456    0.006    0.000    0.047    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/rcsetup.py:373(validate_color)
        1    0.001    0.001    0.046    0.046 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/tqdm/_tqdm.py:9(<module>)
       18    0.001    0.000    0.044    0.002 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/rcsetup.py:789(validate_cycler)
        1    0.001    0.001    0.043    0.043 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/tqdm/_utils.py:1(<module>)
      144    0.004    0.000    0.042    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/rcsetup.py:76(f)
        1    0.028    0.028    0.041    0.041 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axes/_base.py:1(<module>)
24303/23811    0.039    0.000    0.041    0.000 {len}
      391    0.006    0.000    0.038    0.000 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_compile.py:178(_compile_charset)
      456    0.003    0.000    0.038    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/colors.py:112(is_color_like)
       11    0.000    0.000    0.038    0.003 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/six.py:159(_resolve)
        1    0.006    0.006    0.037    0.037 /usr/lib/python2.7/urllib2.py:76(<module>)
        1    0.000    0.000    0.037    0.037 /usr/lib/python2.7/platform.py:10(<module>)
       10    0.000    0.000    0.037    0.004 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/pyparsing.py:4229(__init__)
    33/10    0.000    0.000    0.036    0.004 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/pyparsing.py:3721(leaveWhitespace)
      429    0.002    0.000    0.035    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/pyparsing.py:1144(copy)
      619    0.007    0.000    0.035    0.000 /usr/lib/python2.7/inspect.py:804(getargspec)
      6/4    0.000    0.000    0.035    0.009 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axis.py:670(__get__)
        6    0.001    0.000    0.034    0.006 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axis.py:74(__init__)
        1    0.000    0.000    0.034    0.034 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/pyplot.py:638(close)
        1    0.000    0.000    0.034    0.034 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/_pylab_helpers.py:46(destroy)
       12    0.000    0.000    0.033    0.003 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/artist.py:1071(__init__)
      430    0.006    0.000    0.033    0.000 /usr/lib/python2.7/copy.py:66(copy)
      244    0.002    0.000    0.033    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/rcsetup.py:357(validate_color_for_prop_cycle)
        1    0.000    0.000    0.033    0.033 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backends/_backend_tk.py:553(destroy)
        1    0.000    0.000    0.033    0.033 /usr/lib/python2.7/lib-tk/Tkinter.py:1808(destroy)
       36    0.002    0.000    0.033    0.001 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/_abcoll.py:526(update)
      6/1    0.000    0.000    0.033    0.033 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/offsetbox.py:270(draw)
       12    0.013    0.001    0.032    0.003 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/artist.py:1092(get_aliases)
       29    0.000    0.000    0.032    0.001 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/__init__.py:894(__init__)
        1    0.002    0.002    0.031    0.031 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/numpy/lib/financial.py:12(<module>)
      158    0.005    0.000    0.031    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/cbook/deprecation.py:163(deprecate)
        1    0.002    0.002    0.031    0.031 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/font_manager.py:21(<module>)
    18189    0.031    0.000    0.031    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.030    0.030 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backends/_backend_tk.py:165(__init__)
     1513    0.009    0.000    0.030    0.000 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/re.py:134(match)
       11    0.000    0.000    0.030    0.003 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/pyparsing.py:1586(parseString)
        1    0.002    0.002    0.029    0.029 /usr/lib/python2.7/decimal.py:116(<module>)
      385    0.012    0.000    0.029    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/colors.py:176(_to_rgba_no_colorcycle)
    58/10    0.001    0.000    0.029    0.003 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/pyparsing.py:3266(leaveWhitespace)
      572    0.003    0.000    0.029    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/colors.py:330(to_rgba)
      391    0.017    0.000    0.029    0.000 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_compile.py:207(_optimize_charset)
        1    0.000    0.000    0.029    0.029 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/__init__.py:993(rc_params)
       27    0.003    0.000    0.028    0.001 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/lines.py:290(__init__)
     1566    0.008    0.000    0.028    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/colors.py:107(_is_nth_color)
   121/59    0.001    0.000    0.028    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/pyparsing.py:3341(copy)
      397    0.007    0.000    0.027    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/artist.py:1121(get_valid_values)
        2    0.000    0.000    0.027    0.013 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/animation.py:775(isAvailable)
       48    0.001    0.000    0.026    0.001 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/backports/functools_lru_cache.py:120(wrapper)
       11    0.000    0.000    0.026    0.002 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/pyparsing.py:2631(__init__)
       18    0.016    0.001    0.026    0.001 /usr/lib/python2.7/collections.py:288(namedtuple)
        8    0.000    0.000    0.026    0.003 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axis.py:844(set_tick_params)
        1    0.001    0.001    0.025    0.025 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/numpy/testing/__init__.py:7(<module>)
       27    0.002    0.000    0.025    0.001 {eval}
        2    0.000    0.000    0.025    0.012 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axes/_base.py:2678(grid)
        4    0.000    0.000    0.025    0.006 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axis.py:1423(grid)
   264/11    0.005    0.000    0.025    0.002 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/pyparsing.py:1347(_parseNoCache)
      129    0.004    0.000    0.025    0.000 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_compile.py:359(_compile_info)
     3741    0.016    0.000    0.024    0.000 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_parse.py:130(__getitem__)
    63/11    0.001    0.000    0.024    0.002 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/pyparsing.py:3375(parseImpl)
       24    0.000    0.000    0.024    0.001 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/rcsetup.py:454(validate_font_properties)
        1    0.000    0.000    0.024    0.024 /usr/lib/python2.7/lib-tk/Tkinter.py:2280(create_image)
        1    0.000    0.000    0.024    0.024 /usr/lib/python2.7/lib-tk/Tkinter.py:2263(_create)
